show_id,show_cache_time,show_canonical_name,show_clips_count,show_episodes_count,show_feature_films_count,show_film_clips_count,show_genre,show_is_movie,show_is_showtime_only,show_is_subscriber_only,show_rating,show_seasons_count,show_series_id,show_type,show_videos_count,show_company_name
7281,2017-08-10T15:24:45+00:00,grimm,44,5,0,0,Action and Adventure,False,False,False,4.600659796,1,50004356,show,49,NBC
28409,2017-08-10T14:23:55+00:00,this-is-us,71,18,0,0,Drama,False,False,False,4.795632995,1,50026581,show,89,NBC
4726,2017-08-10T14:53:58+00:00,masterchef,146,10,0,0,Food,False,False,False,4.217078235,1,50001553,show,156,FOX
15896,2017-08-10T15:28:59+00:00,the-thundermans,0,69,0,0,Kids,False,False,False,4.024492557,3,50013405,show,69,Nickelodeon
13482,2017-08-10T14:51:44+00:00,vikings,0,49,0,0,Action and Adventure,False,False,False,4.78311932,4,50010890,show,49,History
4483,2017-08-10T15:21:42+00:00,pretty-little-liars,7,5,0,0,Drama,False,False,False,4.498914555,1,50001387,show,12,Freeform
5725,2017-08-10T15:57:01+00:00,jersey-shore,33,74,0,0,Reality and Game Shows,False,False,False,3.5956574,6,50002718,show,107,MTV
2440,2017-08-10T15:36:21+00:00,general-hospital,1052,10,0,0,Drama,False,False,False,3.8199223860000004,1,12154,show,1062,ABC
24499,2017-08-10T14:46:12+00:00,blindspot,49,45,0,0,Drama,False,False,False,4.522517065,2,50022748,show,94,NBC
6375,2017-08-10T15:18:57+00:00,happy-endings,139,57,0,0,Comedy,False,False,False,4.3547987610000005,3,50003196,show,196,Sony Pictures Television
12666,2017-08-10T15:54:00+00:00,catfish-the-tv-show,78,77,0,0,Reality and Game Shows,False,False,False,4.198490154,5,50009956,show,155,MTV
2526,2017-08-10T15:37:53+00:00,jimmy-kimmel-live,1605,16,0,0,News and Information,False,False,False,3.2966858460000004,1,12137,show,1621,ABC
2295,2017-08-10T14:14:07+00:00,the-cleveland-show,0,88,0,0,Animation and Cartoons,False,False,False,3.621983592,4,11940,show,88,FOX
183,2017-08-10T14:51:49+00:00,project-runway,163,88,0,0,Health and Wellness,False,False,False,3.884819104,6,2327,show,251,Lifetime
12745,2017-08-10T14:41:30+00:00,survivor,0,319,0,0,Teen,False,False,False,4.002237913,21,50010097,show,319,CBS
20608,2017-08-10T15:31:25+00:00,homeland,11,72,0,0,Drama,False,False,False,4.69207411,6,50018691,show,83,SHOWTIME
7421,2017-08-10T14:32:49+00:00,awkward,93,89,0,0,Comedy,False,False,False,4.5081756760000005,5,50004434,show,182,MTV
21869,2017-08-10T14:36:15+00:00,fresh-off-the-boat,31,60,0,0,Comedy,False,False,False,4.420029648,3,50020123,show,91,ABC
7560,2017-08-10T14:52:51+00:00,last-man-standing,2,22,0,0,Comedy,False,False,False,4.375276496000001,1,50004659,show,24,ABC
2473,2017-08-10T15:52:03+00:00,dancing-with-the-stars,31,0,0,0,Reality and Game Shows,False,False,False,3.242755018,0,12108,show,31,ABC
1504,2017-08-10T15:11:19+00:00,reba,0,90,0,0,Comedy,False,False,False,4.123555575,4,10457,show,90,Fox Television Classics
4412,2017-08-10T15:14:28+00:00,the-bachelorette,155,5,0,0,Reality and Game Shows,False,False,False,3.07734047,1,50001229,show,160,ABC
3708,2017-08-10T14:17:26+00:00,the-bachelor,320,0,0,0,Reality and Game Shows,False,False,False,2.927638092,0,50000555,show,320,ABC
2624,2017-08-10T15:52:37+00:00,the-middle,43,5,0,0,Comedy,False,False,False,4.263395482,1,50000015,show,48,ABC
25839,2017-08-10T15:26:08+00:00,superstore,33,22,0,0,Comedy,False,False,False,4.441192282,1,50024167,show,55,NBC
15138,2017-08-10T14:44:38+00:00,sleepy-hollow,48,62,0,0,Drama,False,False,False,4.566322227,4,50012415,show,110,FOX
11258,2017-08-10T14:25:40+00:00,chicago-fire,65,5,0,0,Drama,False,False,False,4.6325614999999996,1,50008679,show,70,NBC
2313,2017-08-10T14:55:34+00:00,private-practice,246,111,0,0,Drama,False,False,False,4.230377343,6,11993,show,357,ABC
26058,2017-08-10T14:21:42+00:00,lucifer,33,31,0,0,Drama,False,False,False,4.630420254,2,50024373,show,64,FOX
1201,2017-08-10T15:08:52+00:00,the-oc,3,92,0,0,Drama,False,False,False,4.054741305,4,10447,show,95,Warner Bros.
14027,2017-08-10T15:16:12+00:00,inside-amy-schumer,79,39,0,0,Comedy,False,False,False,3.750503665,4,50011432,show,118,Comedy Central
19145,2017-08-10T15:36:38+00:00,rizzoli-and-isles,0,105,0,0,Drama,False,False,False,4.433746548999999,7,50017123,show,105,TNT
25243,2017-08-10T15:57:25+00:00,rugrats,0,166,0,0,Animation and Cartoons,False,False,False,3.849742615,9,50023599,show,166,Nickelodeon
